#FEE695	1	61
#FEE695	1	60
#FEEA9C	1	59
#F9FCB6	1	58
gray	1	57
#FED481	1	56
#B6E1A1	1	55
#FDB063	1	54
#FEDB87	1	53
#92D2A4	1	52
#FDB063	1	51
gray	1	50
gray	1	49
#F46F43	1	48
#FA9554	1	47
#FEE695	1	46
#FEC575	1	45
#F2F9AB	1	44
#FEE28E	1	43
#D0EC9C	1	42
#F7834C	1	41
#C8E89E	1	40
#FDB063	1	39
#FFF8B3	1	38
#FEE695	1	37
#FFEEA4	1	36
#FEEA9C	1	35
#FA9554	1	34
#FEE28E	1	33
#FDFEBC	1	32
#FEEA9C	1	31
#FDFEBC	1	30
#FFF8B3	1	29
#FEE695	1	28
#FEEA9C	1	27
#FB9F59	1	26
#FCA75D	1	25
gray	1	24
#F88C50	1	23
#FB9F59	1	22
#FFEEA4	1	21
#FEBE6E	1	20
#FEC575	1	19
#68C2A4	1	18
#E0F299	1	17
#F6FBB1	1	16
#68C2A4	1	15
#FEE695	1	14
#B6E1A1	1	13
#FEEA9C	1	12
gray	1	11
#F6FBB1	1	10
#3E90B9	1	9
#73C6A4	1	8
#EC6147	1	7
#BFE4A0	1	6
#88CEA4	1	5
#F2F9AB	1	4
#F6FBB1	1	3
#FEDB87	1	2
#EBF79F	1	1
#FEE28E	2	61
#FEDB87	2	60
#FEEA9C	2	59
#FEE695	2	58
gray	2	57
#FFEEA4	2	56
#E0F299	2	55
#FEE28E	2	54
#FDB768	2	53
#4578B5	2	52
#FDB063	2	51
gray	2	50
gray	2	49
#F6FBB1	2	48
#FED481	2	47
#FDB768	2	46
#FEEA9C	2	45
#FFEEA4	2	44
#D9EF9B	2	43
#FDB063	2	42
#FEBE6E	2	41
#FEC575	2	40
#F6FBB1	2	39
#FEDB87	2	38
#FEBE6E	2	37
#FED481	2	36
#FDB768	2	35
#FEBE6E	2	34
#FECC7A	2	33
#FEE28E	2	32
#FECC7A	2	31
#FED481	2	30
#FEDB87	2	29
#FEC575	2	28
#FEC575	2	27
#FECC7A	2	26
#FEC575	2	25
gray	2	24
#FEBE6E	2	23
#FFF3AC	2	22
#FDB768	2	21
#FEE28E	2	20
#FEBE6E	2	19
#FFF8B3	2	18
#E7F59A	2	17
#FFFCBB	2	16
#4898B6	2	15
#FDFEBC	2	14
#FFF8B3	2	13
#FEC575	2	12
gray	2	11
#EBF79F	2	10
#ADDDA3	2	9
#BFE4A0	2	8
#F06744	2	7
#DE4D4B	2	6
#88CEA4	2	5
#D9EF9B	2	4
#FDFEBC	2	3
#D9EF9B	2	2
#E7F59A	2	1
#FEEA9C	3	61
#FECC7A	3	60
#FFFCBB	3	59
#FFEEA4	3	58
gray	3	57
#FEDB87	3	56
#FDB768	3	55
#FECC7A	3	54
#FEBE6E	3	53
#D0EC9C	3	52
#FEE28E	3	51
gray	3	50
gray	3	49
#FED481	3	48
#FEE695	3	47
#FEE695	3	46
#FFFCBB	3	45
#FEEA9C	3	44
#FEEA9C	3	43
#FDB768	3	42
#FEC575	3	41
#FED481	3	40
#FED481	3	39
#FFEEA4	3	38
#FED481	3	37
#FEEA9C	3	36
#FEBE6E	3	35
#FECC7A	3	34
#FEBE6E	3	33
#FEC575	3	32
#FEC575	3	31
#FDB768	3	30
#FFEEA4	3	29
#FEE28E	3	28
#FEBE6E	3	27
#FED481	3	26
#FEDB87	3	25
gray	3	24
#FEE695	3	23
#FEE695	3	22
#FED481	3	21
#FEC575	3	20
#FEEA9C	3	19
#D0EC9C	3	18
#92D2A4	3	17
#B6E1A1	3	16
#5E4EA1	3	15
#FFEEA4	3	14
#4578B5	3	13
#FEDB87	3	12
gray	3	11
#F9FCB6	3	10
#ADDDA3	3	9
#7ECAA4	3	8
#F67948	3	7
#FB9F59	3	6
#B6E1A1	3	5
#F6FBB1	3	4
#FEE695	3	3
#F6FBB1	3	2
#D9EF9B	3	1
#FED481	4	61
#FCA75D	4	60
#FECC7A	4	59
#FEC575	4	58
gray	4	57
#FEE28E	4	56
#FDB768	4	55
#FED481	4	54
#FCA75D	4	53
#FED481	4	52
#FEC575	4	51
gray	4	50
gray	4	49
#FDB063	4	48
#FEBE6E	4	47
#FEE28E	4	46
#FFF8B3	4	45
#FEBE6E	4	44
#FDB768	4	43
#FEBE6E	4	42
#FCA75D	4	41
#FEBE6E	4	40
#FB9F59	4	39
#FEE28E	4	38
#FEDB87	4	37
#FEE695	4	36
#FDB063	4	35
#FA9554	4	34
#FDB063	4	33
#FDB063	4	32
#FDB063	4	31
#FEC575	4	30
#FEDB87	4	29
#FEBE6E	4	28
#FEBE6E	4	27
#FDB768	4	26
#FED481	4	25
gray	4	24
#FCA75D	4	23
#FEDB87	4	22
#FEDB87	4	21
#FDB768	4	20
#FED481	4	19
#DE4D4B	4	18
#A4DAA4	4	17
#FEE695	4	16
#FB9F59	4	15
#FB9F59	4	14
#FEDB87	4	13
#FCA75D	4	12
gray	4	11
#FFFCBB	4	10
#FEDB87	4	9
#F9FCB6	4	8
#EC6147	4	7
#D53E4E	4	6
#F7834C	4	5
#FEBE6E	4	4
#FEDB87	4	3
#FEE28E	4	2
#FEE28E	4	1
#FCA75D	5	61
#FEE28E	5	60
#FECC7A	5	59
#FDB768	5	58
gray	5	57
#FEDB87	5	56
#FEE695	5	55
#FED481	5	54
#F88C50	5	53
#F67948	5	52
