Cycle	Time	Temp	A6	B6	C6	D6	E6	F6	G6	H6
1	0	26.1	42557	25619	14779	9606	7088	5568	5112	4283
2	22.6	26.2	41225	25078	14915	9589	7083	5688	5266	4283
3	45.2	26	41608	25760	15231	9797	6984	5637	5248	4379
4	67.9	26.1	42066	25219	14981	9727	7228	5550	5128	4484
5	205.9	26.2	20877	13208	6116	4946	4190	4085	4113	3769
6	228.5	26.2	12444	8581	5918	5020	4075	4118	4148	3830
7	251.1	26.5	11037	8387	5988	4923	4253	4070	4053	3769
8	273.7	26.5	11371	8273	5889	4933	4057	4089	4111	3791
9	296.3	26.3	11237	8222	5917	4912	4128	4083	4185	3793
10	318.9	26.5	11430	8199	6046	4902	4165	4176	3953	3849
11	341.6	26.5	11443	8220	5962	4787	4107	4101	3959	3758
12	364.2	26.3	11609	8435	5928	4748	4039	4045	4193	3768
13	386.8	26.5	12390	8136	6132	4838	4192	3971	4109	3888
14	409.4	26.5	12518	8394	5881	4871	4141	3935	4169	3813
15	492.7	26.6	12029	4043	3614	3511	3831	3443	3668	3614
16	515.3	26.7	11217	3562	3576	3570	3763	3586	3679	3653
17	537.9	26.6	10788	3506	3714	3619	3780	3565	3688	3660
18	560.6	26.7	10712	3570	3650	3636	3613	3529	3559	3604
19	583.2	26.7	10548	3678	3621	3604	3614	3524	3609	3646
20	605.8	26.7	10856	3720	3685	3593	3502	3570	3700	3509
21	628.4	26.8	10800	3597	3634	3629	3433	3540	3746	3567
22	651.1	27	10885	3648	3621	3614	3477	3575	3678	3519
23	673.7	26.9	10925	3580	3742	3659	3398	3580	3696	3779
24	696.3	27	11053	3740	3637	3670	3421	3581	3739	3670
