Cycle Nr.	Time [s]	Temp. [°C]	A3	A4	B3	B4	C3	C4	D3	D4	E3	E4	F3	F4	G3	G4	H3	H4
23	1464.5	27.4	0.5940999985	0.4654999971	0.4444000125	0.7470999956	0.5119000077	0.4212000072	0.6568999887	0.6976000071	0.6769999862	0.7921000123	0.6079000235	0.4600999951	0.5428000093	0.5278000236	0.7008000016	0.8191999793
24	1505	27.4	0.5856999755	0.4623000026	0.4429999888	0.7202000022	0.4848000109	0.4171000123	0.6517000198	0.6711000204	0.6707000136	0.7587000132	0.6047000289	0.461499989	0.5120000243	0.4968000054	0.6977999806	0.7785000205
25	1545.5	27.4	0.5831000209	0.462199986	0.4411999881	0.7042000294	0.4954000115	0.4210999906	0.6444000006	0.646600008	0.6679999828	0.7329000235	0.5989999771	0.458799988	0.5364000201	0.4742999971	0.6873000264	0.747699976
26	1586	27.4	0.5784999728	0.4618999958	0.4422999918	0.6966000199	0.5156000257	0.4196999967	0.6459000111	0.6330999732	0.6642000079	0.7143999934	0.6001999974	0.4609000087	0.5059999824	0.4921999872	0.6904000044	0.7310000062
27	1626.5	27.5	0.575600028	0.4602999985	0.4415999949	0.6931999922	0.5309000015	0.4194000065	0.6377000213	0.6225000024	0.6599000096	0.6963000298	0.5971999764	0.4600999951	0.543200016	0.4905000031	0.6830999851	0.7179999948
28	1667	27.5	0.5710999966	0.4578999877	0.4424999952	0.6895999908	0.5044000149	0.4199000001	0.6369000077	0.6125000119	0.6578000188	0.6838999987	0.5964000225	0.4609999955	0.5461999774	0.5098000169	0.6826999784	0.7064999938
29	1707.5	27.7	0.5677999854	0.4586000144	0.4433000088	0.6875	0.5016000271	0.412800014	0.6370000243	0.6051999927	0.6535999775	0.6747999787	0.5940999985	0.4602999985	0.5080000162	0.4690000117	0.6783000231	0.6999999881
30	1748	27.4	0.5695000291	0.4636000097	0.4474000037	0.6927000284	0.4763999879	0.3880999982	0.6391999722	0.6060000062	0.6564999819	0.6717000008	0.5982000232	0.4650000036	0.4765000045	0.4282000065	0.6858000159	0.7002000213
31	1788.5	27.5	0.5681999922	0.46450001	0.4472999871	0.690500021	0.4860000014	0.4032000005	0.6340000033	0.5954999924	0.6542999744	0.6654000282	0.5953000188	0.4654999971	0.5063999891	0.4833999872	0.6796000004	0.6916000247
32	1829	27.7	0.5618000031	0.4600000083	0.4420999885	0.6830999851	0.5041000247	0.3892999887	0.6252999902	0.5838999748	0.6457999945	0.6509000063	0.5861999989	0.4600000083	0.4639999866	0.4494000077	0.6711999774	0.6787999868
33	1869.5	27.7	0.5586000085	0.4600000083	0.4424999952	0.6808000207	0.4686999917	0.3968000114	0.6218000054	0.5748000145	0.6448000073	0.6445000172	0.5834000111	0.4595000148	0.4557000101	0.4399000108	0.6665999889	0.6718000174
34	1910	27.7	0.5561000109	0.4596999884	0.4426000118	0.6794999838	0.5396999717	0.3959000111	0.6190999746	0.570900023	0.6427999735	0.6387000084	0.5814999938	0.4595000148	0.4988999963	0.4686000049	0.6657999754	0.6654000282
35	1950.5	27.5	0.5529999733	0.4607000053	0.4420000017	0.6786999702	0.4934000075	0.4154999852	0.6144999862	0.5644000173	0.6399999857	0.6276000142	0.5781000257	0.4593999982	0.4745000005	0.4476999938	0.6618999839	0.6610000134
36	1991	27.7	0.5490000248	0.4602999985	0.4422999918	0.6769999862	0.5015000105	0.3993999958	0.6129999757	0.5598000288	0.638800025	0.6212000251	0.5766000152	0.4607999921	0.475699991	0.4765999913	0.6596999764	0.6547999978
37	2031.4	27.7	0.5468999743	0.4589000046	0.4429999888	0.6744999886	0.5001999736	0.40200001	0.611199975	0.554700017	0.6369000077	0.6154999733	0.5745000243	0.4602999985	0.5210999846	0.4639999866	0.658100009	0.6511999965
38	2071.9	27.7	0.5504999757	0.46450001	0.4476999938	0.6804000139	0.4805000126	0.3926999867	0.6151000261	0.5588999987	0.6402999759	0.614199996	0.5771999955	0.464899987	0.4941999912	0.4496999979	0.6618000269	0.6528000236
39	2112.5	27.7	0.5412999988	0.4578000009	0.4431000054	0.6710000038	0.4521999955	0.3449999988	0.6058999896	0.5461999774	0.6302999854	0.5993999839	0.5698000193	0.4589000046	0.4438000023	0.4147000015	0.6546999812	0.6413000226
40	2153	27.8	0.537899971	0.4602999985	0.4420999885	0.6700999737	0.4591999948	0.40200001	0.6036000252	0.5400000215	0.6290000081	0.5936999917	0.5669000149	0.4586000144	0.4539000094	0.4427999854	0.6503000259	0.6341000199
41	2193.5	27.8	0.5374000072	0.4582000077	0.4438000023	0.6692000031	0.4774000049	0.3944000006	0.6007000208	0.5383999944	0.628000021	0.5873000026	0.5645999908	0.4596999884	0.4503000081	0.4318999946	0.6478000283	0.6302000284
42	2234	27.8	0.5351999998	0.4584999979	0.4411000013	0.6650000215	0.4724000096	0.3842999935	0.5936999917	0.5320000052	0.6252999902	0.5820000172	0.5616000295	0.459100008	0.4700999856	0.4311999977	0.6421999931	0.6258000135
43	2274.5	27.7	0.5310000181	0.459800005	0.4413000047	0.663500011	0.4627000093	0.3977999985	0.5906999707	0.5249000192	0.6229000092	0.5741999745	0.5593000054	0.4575999975	0.4745000005	0.4433999956	0.6385999918	0.6166999936
44	2315	27.8	0.5364999771	0.4650000036	0.4469000101	0.6704000235	0.4541000128	0.3892999887	0.5950999856	0.5325999856	0.6263999939	0.576300025	0.5641999841	0.4654000103	0.4688999951	0.4413000047	0.6449000239	0.6211000085
45	2355.5	27.9	0.5264999866	0.4573999941	0.4422999918	0.6600999832	0.5049999952	0.3838999867	0.587100029	0.5236999989	0.6162999868	0.5631999969	0.5555999875	0.4591999948	0.4774999917	0.4332000017	0.6369000077	0.608799994
46	2396	27.8	0.5249000192	0.4587000012	0.442900002	0.6610000134	0.4684000015	0.3896999955	0.587199986	0.522300005	0.6147999763	0.5587000251	0.5551999807	0.4600000083	0.4715999961	0.4356999993	0.6377000213	0.6065000296
47	2436.5	27.9	0.5234000087	0.4593999982	0.4422000051	0.6570000052	0.491899997	0.3838	0.581700027	0.5174000263	0.6122000217	0.554700017	0.5515000224	0.4586000144	0.4528000057	0.4429999888	0.6330000162	0.5993000269
48	2477	27.7	0.5206000209	0.4584999979	0.4426000118	0.6549999714	0.4580000043	0.3982000053	0.5807999969	0.5157999992	0.6097000241	0.5489000082	0.5501000285	0.4578999877	0.4697000086	0.4300999939	0.63349998	0.5968999863
49	2517.5	27.9	0.5234000087	0.4630999863	0.4474000037	0.6596999764	0.477699995	0.402399987	0.5823000073	0.5213000178	0.6139000058	0.5507000089	0.5554999709	0.4643999934	0.4731999934	0.4656000137	0.6359999776	0.6017000079
50	2558	27.8	0.5156999826	0.4577000141	0.4422999918	0.6503999829	0.4657999873	0.3849999905	0.5720999837	0.5102000237	0.6061999798	0.5414999723	0.5460000038	0.4573999941	0.4684000015	0.4359999895	0.6252999902	0.5860000253
51	2598.5	27.9	0.5148000121	0.459100008	0.442900002	0.6500999928	0.4569000006	0.3955999911	0.570200026	0.5109000206	0.6032000184	0.5388000011	0.5457999706	0.4573999941	0.4365999997	0.4390999973	0.6262999773	0.5828999877
52	2639	27.9	0.5113999844	0.4593999982	0.4411999881	0.6475999951	0.4487000108	0.40169999	0.5661000013	0.5063999891	0.6017000079	0.5351999998	0.5414999723	0.4564999938	0.4323999882	0.4307999909	0.6183000207	0.579400003
53	2679.5	27.9	0.5081999898	0.4582999945	0.4429999888	0.6456000209	0.4586000144	0.3955999911	0.5659999847	0.5085999966	0.5993999839	0.5325000286	0.5410000086	0.4586000144	0.4713999927	0.451700002	0.6182000041	0.5774999857
54	2720	27.9	0.5066999793	0.4580000043	0.4422000051	0.6434000134	0.4618999958	0.3716000021	0.5626000166	0.5076000094	0.5957000256	0.5303000212	0.5389999747	0.4584000111	0.4451999962	0.4411000013	0.6186000109	0.5738000274
55	2760.5	27.8	0.5098999739	0.4634999931	0.4485000074	0.6467999816	0.4769999981	0.4032999873	0.5658000112	0.510800004	0.5993000269	0.5342000127	0.5435000062	0.46450001	0.4821000099	0.4217999876	0.6211000085	0.5781999826
56	2801	27.9	0.5073999763	0.4632000029	0.4503000081	0.6467000246	0.4772999883	0.4300999939	0.5669000149	0.5139999986	0.5971000195	0.5325999856	0.5421000123	0.4638999999	0.4859000146	0.451000005	0.6193000078	0.5753999949
57	2841.5	27.9	0.4997999966	0.4586000144	0.4440000057	0.6363000274	0.4447999895	0.372299999	0.5527999997	0.5045999885	0.5899000168	0.5263000131	0.533100009	0.4577000141	0.4674000144	0.4413000047	0.6092000008	0.5637999773
58	2882	27.8	0.5026000142	0.4623999894	0.4481999874	0.6409999728	0.4625999928	0.3727999926	0.557099998	0.5097000003	0.5924000144	0.5303000212	0.5375000238	0.4634999931	0.4747000039	0.4379999936	0.6136999726	0.5662000179
59	2922.5	27.9	0.4930999875	0.4584999979	0.4431000054	0.6338000298	0.4447000027	0.3941999972	0.5525000095	0.5044000149	0.5849000216	0.5209000111	0.5303999782	0.4584999979	0.4559000134	0.4322000146	0.6043999791	0.5608000159
