Cycle Nr.	Time [s]	Temp. [°C]	A3	A4	B3	B4	C3	C4	D3	D4	E3	E4	F3	F4	G3	G4	H3	H4
1	0	26.6	0.6215999722	0.4374000132	0.4914999902	0.8460000157	0.6065000296	0.4603999853	0.7210999727	0.7562000155	0.7570000291	0.86650002	0.7200999856	0.5505999923	0.6162999868	0.5715000033	0.7480999827	0.9049999714
2	40.5	26.7	0.6212999821	0.4413000047	0.4767999947	0.8216000199	0.5752999783	0.461499989	0.7161999941	0.7497000098	0.7588999867	0.8622999787	0.7210000157	0.5429999828	0.5737000108	0.5321000218	0.7317000031	0.9017000198
3	81	26.7	0.6197999716	0.4422999918	0.4503000081	0.8158000112	0.5500000119	0.4603999853	0.7141000032	0.7552999854	0.7519999743	0.851000011	0.7161999941	0.5224000216	0.5766000152	0.5106999874	0.7333999872	0.90200001
4	423.5	26.7	0.6493999958	0.4695000052	0.4440000057	0.8367000222	0.5286999941	0.429399997	0.7221999764	0.7835000157	0.7278000116	0.8575000167	0.6510999799	0.4616999924	0.5214999914	0.5048999786	0.7592999935	0.9187999964
5	464	26.7	0.649699986	0.4704999924	0.4433999956	0.8352000117	0.533100009	0.4422000051	0.7203999758	0.7807000279	0.731400013	0.8575000167	0.6554999948	0.4639999866	0.5181999803	0.5182999969	0.7562000155	0.9161999822
6	504.5	26.9	0.6488000154	0.4699999988	0.4417000115	0.8334000111	0.5555999875	0.4738999903	0.7195000052	0.7799999714	0.7299000025	0.8583999872	0.6571999788	0.4609000087	0.5559999943	0.5508000255	0.7573000193	0.9147999883
7	545	26.9	0.6499000192	0.469900012	0.4440999925	0.8339999914	0.579400003	0.47330001	0.7246000171	0.7835000157	0.7317000031	0.8590999842	0.6563000083	0.4623000026	0.5511999726	0.5494999886	0.7601000071	0.9197000265
8	585.5	26.9	0.649600029	0.4690000117	0.4433000088	0.8335000277	0.5461000204	0.4512000084	0.7232999802	0.7835999727	0.7297999859	0.8594999909	0.6561999917	0.4602000117	0.5181999803	0.5351999998	0.7591999769	0.9168999791
9	692.4	27.1	0.647300005	0.4695000052	0.443599999	0.8324000239	0.5033000112	0.4415999949	0.7239999771	0.782400012	0.728399992	0.8582999706	0.6560999751	0.4575999975	0.5259000063	0.5317999721	0.7595000267	0.9172000289
10	732.9	26.9	0.6499000192	0.4695000052	0.4429999888	0.8330000043	0.5164999962	0.4467000067	0.7218999863	0.7829999924	0.7317000031	0.8593000174	0.6622999907	0.458799988	0.530099988	0.5400999784	0.7578999996	0.9193999767
11	773.4	27.1	0.6499000192	0.4711999893	0.4408999979	0.8320000172	0.5358999968	0.4844999909	0.7218999863	0.7835999727	0.7321000099	0.861800015	0.6579999924	0.4553999901	0.5195000172	0.529399991	0.7555000186	0.9156000018
12	907	27	0.6500999928	0.4704999924	0.4420999885	0.831700027	0.5475000143	0.4674000144	0.7197999954	0.7835000157	0.7289999723	0.8607000113	0.657400012	0.4551999867	0.5742999911	0.5444999933	0.7562999725	0.9167000055
13	947.5	27.3	0.6507999897	0.4731999934	0.4413999915	0.8321999907	0.5899000168	0.4708999991	0.7184000015	0.7809000015	0.731400013	0.8615000248	0.6583999991	0.4541999996	0.5363000035	0.570200026	0.7542999983	0.9146000147
14	988	27.3	0.6495000124	0.4706999958	0.4424999952	0.8324999809	0.5609999895	0.4582999945	0.7207999825	0.7802000046	0.7318999767	0.861800015	0.6577000022	0.453399986	0.5297999978	0.5166000128	0.753099978	0.9149000049
15	1028.5	27.3	0.647300005	0.4713000059	0.4429999888	0.8328999877	0.5149000287	0.4408000112	0.7232999802	0.7828999758	0.731400013	0.861800015	0.6593999863	0.4557000101	0.5332999825	0.5041000247	0.7555000186	0.9179999828
16	1120.7	27.2	0.6514999866	0.4697999954	0.4433000088	0.8195999861	0.5299999714	0.4517999887	0.698300004	0.7688000202	0.7221999764	0.8759999871	0.6478999853	0.4505999982	0.5533000231	0.5357000232	0.7440000176	0.9016000032
17	1161.2	27.3	0.6485000253	0.4697999954	0.4453000128	0.8231999874	0.5206999779	0.4528999925	0.7055000067	0.7721999884	0.720600009	0.8751999736	0.6482999921	0.4503999949	0.5536000133	0.5353000164	0.747600019	0.9038000107
18	1201.7	27.2	0.6514999866	0.4713999927	0.4449000061	0.8241000175	0.5449000001	0.4523000121	0.700699985	0.7678999901	0.7211999893	0.875	0.6470000148	0.4514000118	0.5533000231	0.5306000113	0.7459999919	0.9052000046
19	1242.3	27.4	0.6514999866	0.4717999995	0.4417000115	0.8252999783	0.5738999844	0.4650999904	0.7016999722	0.7681000233	0.7196000218	0.8756999969	0.6453999877	0.4496999979	0.5734999776	0.5662000179	0.7436000109	0.9028999805
																		
20	1282.8	27.4	0.6538000107	0.472299993	0.4415999949	0.8252999783	0.5284000039	0.4228999913	0.6963999867	0.7656999826	0.7213000059	0.877300024	0.6445999742	0.4496999979	0.5440999866	0.5307999849	0.7394000292	0.9007999897
21	1323.3	27.4	0.6521000266	0.4711000025	0.4397999942	0.8249999881	0.5424000025	0.4826999903	0.6977999806	0.766200006	0.7185000181	0.8761000037	0.6420000196	0.4478999972	0.5311999917	0.5414999723	0.7433000207	0.8995000124
22	1424	27.5	0.6129999757	0.4704000056	0.4501999915	0.7818999887	0.5500000119	0.4322000146	0.6710000038	0.7322999835	0.689899981	0.8316000104	0.6205999851	0.4659000039	0.5130000114	0.516200006	0.7135000229	0.8679000139
23	1464.5	27.4	0.5964999795	0.4695000052	0.4492999911	0.7433999777	0.4909000099	0.4282999933	0.663500011	0.6940000057	0.6808000207	0.7889000177	0.6129000187	0.4647000134	0.5267999768	0.4966000021	0.7084000111	0.8149999976
24	1505	27.4	0.5903000236	0.4670999944	0.4469000101	0.7203999758	0.513899982	0.4365000129	0.6531000137	0.6697999835	0.6758000255	0.7570000291	0.608099997	0.46419999	0.5281999707	0.5083000064	0.6976000071	0.7702000141
25	1545.5	27.5	0.5874000192	0.4677000046	0.4460999966	0.7087000012	0.5260000229	0.4329000115	0.6480000019	0.6482999921	0.6723999977	0.7332999706	0.6050999761	0.4643999934	0.5375000238	0.4842999876	0.6917999983	0.7458999753
26	1586	27.4	0.5823000073	0.4663000107	0.4463	0.7017999887	0.4803000093	0.4322000146	0.6481999755	0.6345999837	0.6679999828	0.7131000161	0.6043999791	0.4656000137	0.5124999881	0.4697999954	0.6915000081	0.7319999933
27	1626.5	27.4	0.5792999864	0.4650999904	0.4453000128	0.6973000169	0.5231999755	0.4031000137	0.6474999785	0.6277999878	0.6642000079	0.6992999911	0.6031000018	0.4641000032	0.4898999929	0.4650999904	0.6927000284	0.7217000127
28	1667	27.7	0.575699985	0.4650999904	0.4444999993	0.6947000027	0.4771000147	0.3752999902	0.6414999962	0.6143000126	0.6601999998	0.6883999705	0.6000000238	0.46450001	0.4586000144	0.4614000022	0.6888999939	0.7103000283
29	1707.5	27.5	0.5737000108	0.464899987	0.445600003	0.6923999786	0.5047000051	0.4063000083	0.6366000175	0.6072999835	0.6568999887	0.6779999733	0.5982999802	0.4641000032	0.4973999858	0.4846000075	0.6837999821	0.7024000287
30	1748	27.7	0.5705999732	0.4641000032	0.4460999966	0.6902999878	0.491899997	0.4058000147	0.6331999898	0.5995000005	0.6549000144	0.6680999994	0.5957000256	0.4630999863	0.4704999924	0.4293000102	0.6798999906	0.6913999915
31	1788.5	27.7	0.5659999847	0.4638000131	0.4453999996	0.6886000037	0.4871000051	0.3995999992	0.6337000132	0.5961999893	0.6521999836	0.66049999	0.5924999714	0.4632000029	0.5163000226	0.4553999901	0.6791999936	0.6876000166
32	1829	27.7	0.565599978	0.4634000063	0.4458999932	0.6855000257	0.5266000032	0.4246999919	0.6274999976	0.5849000216	0.6506000161	0.6536999941	0.5910000205	0.4632000029	0.5227000117	0.4797999859	0.6758999825	0.6834999919
33	1869.5	27.7	0.5630000234	0.4627000093	0.4451000094	0.6852999926	0.4930999875	0.3986000121	0.621999979	0.5785999894	0.6488999724	0.6464999914	0.5873000026	0.46419999	0.5018000007	0.4715000093	0.668299973	0.6746000051
34	1910	27.7	0.5597000122	0.4636999965	0.4453999996	0.6830999851	0.4950000048	0.4122999907	0.6223999858	0.573300004	0.6467999816	0.6403999925	0.5856000185	0.4638999999	0.4796999991	0.4735000134	0.6665999889	0.6690999866
35	1950.5	27.7	0.5554999709	0.4638000131	0.4449999928	0.6822000146	0.5052999854	0.4032000005	0.6234999895	0.5715000033	0.644299984	0.6316999793	0.5825999975	0.4643000066	0.4961000085	0.4747999907	0.6687999964	0.6667000055
36	1991	27.7	0.55400002	0.4634999931	0.4462000132	0.6800000072	0.5119000077	0.4144999981	0.6130999923	0.5623999834	0.6428999901	0.6251000166	0.5806999803	0.4645999968	0.4799999893	0.4801999927	0.662800014	0.6600999832
37	2031.5	27.7	0.5530999899	0.4641000032	0.4471000135	0.679099977	0.5001999736	0.3928999901	0.6128000021	0.5595999956	0.6420000196	0.6179999709	0.5782999992	0.4634999931	0.4916000068	0.4447999895	0.6590999961	0.6532999873
38	2072	27.7	0.5501000285	0.4643000066	0.4449000061	0.6771000028	0.4824999869	0.4023000002	0.6046000123	0.5515999794	0.638100028	0.6121000051	0.5746999979	0.4632000029	0.4920000136	0.4365999997	0.6557999849	0.6452000141
39	2112.5	27.8	0.5468999743	0.4639999866	0.4444999993	0.6747000217	0.4884000123	0.4120999873	0.6044999957	0.5471000075	0.6351000071	0.6049000025	0.5727000237	0.4629999995	0.4932000041	0.4113000035	0.6553999782	0.6413000226
40	2153	27.8	0.5433999896	0.4627999961	0.445600003	0.6729000211	0.4803000093	0.3887999952	0.6065999866	0.5451999903	0.6326000094	0.5985000134	0.5705000162	0.462500006	0.4806999862	0.4397999942	0.6557999849	0.6384000182
41	2193.5	27.7	0.540899992	0.4632000029	0.4463999867	0.6730999947	0.4670999944	0.3720999956	0.605799973	0.5440000296	0.631099999	0.5916000009	0.5690000057	0.46450001	0.4923000038	0.4388000071	0.6528999805	0.6345000267
42	2234	27.8	0.5411000252	0.4650999904	0.4460000098	0.6703000069	0.4842999876	0.404700011	0.5975999832	0.5343999863	0.6301000118	0.5776000023	0.5670999885	0.4589000046	0.4837000072	0.4503999949	0.6510999799	0.6277999878
43	2274.5	27.7	0.5371999741	0.4629000127	0.4451000094	0.6676999927	0.4700999856	0.4160999954	0.5953999758	0.5314000249	0.6269999743	0.5792000294	0.5637000203	0.4632000029	0.5116000175	0.423999995	0.6452000141	0.6223000288
44	2315	27.8	0.5328999758	0.459800005	0.4460000098	0.6679999828	0.4693999887	0.4203999937	0.5963000059	0.5335000157	0.622699976	0.5715000033	0.5626999736	0.462500006	0.4652999938	0.4532999992	0.6460000277	0.6194999814
45	2355.5	27.9	0.532400012	0.4632000029	0.4456999898	0.6653000116	0.4810000062	0.407099992	0.5889000297	0.5254999995	0.6233000159	0.5690000057	0.5608999729	0.4629999995	0.4846999943	0.4251999855	0.6405000091	0.6121000051
46	2396	27.8	0.5284000039	0.4627000093	0.4451999962	0.6625999808	0.4788999856	0.4115999937	0.5888000131	0.5225999951	0.618900001	0.5631999969	0.560100019	0.4629000127	0.4999000132	0.4334999919	0.6389999986	0.6068999767
47	2436.5	27.8	0.5281999707	0.4627999961	0.4467000067	0.6613000035	0.4754999876	0.429399997	0.5835999846	0.5224999785	0.616599977	0.5573999882	0.5576000214	0.4630999863	0.4860000014	0.4449999928	0.6399000287	0.6050000191
48	2477	27.9	0.5260999799	0.4616000056	0.4458999932	0.6603999734	0.4674000144	0.3973999918	0.5813000202	0.518599987	0.6133000255	0.5537999868	0.5555999875	0.4634999931	0.4632999897	0.4356999993	0.6367999911	0.5992000103
49	2517.5	27.9	0.5231999755	0.4620999992	0.4467000067	0.6577000022	0.4544999897	0.3835000098	0.5820000172	0.5177000165	0.6126000285	0.5490000248	0.5537999868	0.462199986	0.4815999866	0.4237000048	0.6349999905	0.5961999893
50	2558	27.9	0.5210999846	0.4636999965	0.4442999959	0.6546999812	0.4219999909	0.3817999959	0.5753999949	0.5146999955	0.6101999879	0.5472999811	0.5511999726	0.4607999921	0.4375999868	0.4192999899	0.6320999861	0.5870000124
51	2598.5	27.8	0.5174000263	0.4623999894	0.4453000128	0.6531999707	0.4672999978	0.4052000046	0.5708000064	0.5117999911	0.6086999774	0.5421000123	0.549300015	0.4623999894	0.466899991	0.4415999949	0.6269000173	0.586499989
52	2639	27.9	0.5151000023	0.4623999894	0.4460999966	0.6521999836	0.472299993	0.4036000073	0.5730999708	0.5130000114	0.6058999896	0.5403000116	0.5479000211	0.4623000026	0.4891000092	0.4354000092	0.6258000135	0.5853999853
53	2679.5	27.9	0.513100028	0.4616000056	0.4471000135	0.6498000026	0.4401000142	0.3953000009	0.5703999996	0.5101000071	0.6021000147	0.5368000269	0.5460000038	0.462199986	0.4528999925	0.4429999888	0.6262999773	0.581099987
54	2720	27.9	0.5109999776	0.4629999995	0.4460999966	0.6481000185	0.4541999996	0.400000006	0.5684000254	0.5120000243	0.6028000116	0.5368000269	0.5437999964	0.461800009	0.4444000125	0.4361999929	0.6218000054	0.5770999789
55	2760.5	27.8	0.507700026	0.462500006	0.4476999938	0.6460000277	0.4478999972	0.40200001	0.5666000247	0.510800004	0.5995000005	0.5333999991	0.5436999798	0.4623000026	0.4469000101	0.4271999896	0.6194999814	0.5730999708
56	2801	27.9	0.5063999891	0.4620000124	0.4480000138	0.6424999833	0.4451999962	0.3738999963	0.5649999976	0.508400023	0.5958999991	0.5310000181	0.5400000215	0.461499989	0.4532999992	0.4189999998	0.6180999875	0.5723000169
57	2841.5	27.9	0.5016000271	0.4611999989	0.4474999905	0.6409999728	0.4555999935	0.413500011	0.5626000166	0.5095999837	0.5946000218	0.5295000076	0.5389999747	0.4620999992	0.4688999951	0.4217000008	0.6150000095	0.5694000125
58	2882	28	0.5022000074	0.4629000127	0.4476000071	0.638800025	0.4589000046	0.3894000053	0.5554999709	0.5062000155	0.5931000113	0.5291000009	0.5364999771	0.4620999992	0.451000005	0.4368999898	0.6108000278	0.5641000271
59	2922.5	27.8	0.4995999932	0.4620000124	0.4476000071	0.6370999813	0.4465000033	0.3806000054	0.5558999777	0.5076000094	0.5903999805	0.5273000002	0.5360000134	0.4614000022	0.4429999888	0.4339999855	0.611800015	0.5627999902
