Genomes	Enzyme_1	Enzyme_2	Enzyme_3	Enzyme_4	Enzyme_5	Enzyme_6	Enzyme_7	Enzyme_8	Enzyme_9	Enzyme_10	Enzyme_11	Enzyme_12	Enzyme_13	Enzyme_14	Enzyme_15	Enzyme_16	Enzyme_17	Enzyme_18	Enzyme_19	Enzyme_20	Enzyme_21	Enzyme_22	Enzyme_23	Enzyme_24	Enzyme_25	Enzyme_26	Enzyme_27	Enzyme_28	Enzyme_29	Enzyme_30	Enzyme_31	Enzyme_32	Enzyme_33	Enzyme_34	Enzyme_35	Enzyme_36	Enzyme_37	Enzyme_38	Enzyme_39	Enzyme_40	Enzyme_41	Enzyme_42	Enzyme_43	Enzyme_44	Enzyme_45	Enzyme_46	Enzyme_47	Enzyme_48	Enzyme_49	Enzyme_50	Enzyme_51	Enzyme_52	Enzyme_53	Enzyme_54	Enzyme_55	Enzyme_56	Enzyme_57	Enzyme_58	Enzyme_59	Enzyme_60	Enzyme_61	Enzyme_62	Enzyme_63	Enzyme_64	Enzyme_65	Enzyme_66	Enzyme_67	Enzyme_68	Enzyme_69	Enzyme_70	Enzyme_71	Enzyme_72	Enzyme_73	Enzyme_74	Enzyme_75	Enzyme_76	Enzyme_77	Enzyme_78	Enzyme_79	Enzyme_80	Enzyme_81	Enzyme_82	Enzyme_83	Enzyme_84	Enzyme_85	Enzyme_86	Enzyme_87	Enzyme_88	Enzyme_89	Enzyme_90	Enzyme_91	Enzyme_92	Enzyme_93	Enzyme_94	Enzyme_95	Enzyme_96	Enzyme_97	Enzyme_98	Enzyme_99	Enzyme_100	Enzyme_101	Enzyme_102	Enzyme_103	Enzyme_104	Enzyme_105	Enzyme_106
Streptomyces brasiliensis JNXB01	14	1	4	2	1	2	1	6	2	2	5	2	1	4	3	1	1	3	2	3	1	9	1	3	3	1	8	5	1	4	1	1	1	1	1	13	1	4	1	1	3	1	1	2	1	1	2	1	4	2	2	1	1	1	2	1	13	1	1	1	16	2	1	2	1	1	5	3	1	1	14	1	1	3	1	4	10	2	2	2	2	4	1	1	3	1	1	6	6	1	1	1	1	2	1	1	1	1	1	1	3	4	1	7	3	1
Streptomyces pluripotens JTDH01	15	2	5	2	1	4	1	8	2	2	4	2	1	5	3	1	2	4	3	3	1	5	1	4	3	1	9	4	0	5	1	2	1	1	1	14	1	4	1	1	3	3	1	1	1	1	1	1	5	1	2	1	1	1	2	1	11	1	1	1	16	3	1	2	1	1	4	4	1	1	18	2	1	3	1	3	7	2	2	3	2	6	1	2	5	1	1	8	6	1	1	1	1	2	1	1	1	1	1	1	2	3	1	11	2	1
Streptomyces sp. AcH 505 JTIY01	23	1	4	3	1	2	1	6	2	3	4	2	1	4	4	2	2	5	3	4	1	9	1	2	2	1	6	1	1	3	1	1	1	1	2	16	1	2	1	1	3	3	1	1	1	1	2	1	3	1	2	2	1	1	3	2	8	1	2	2	12	1	1	2	1	1	6	5	1	1	10	2	1	4	1	3	8	3	2	1	2	5	1	1	4	2	2	6	12	1	3	2	1	2	1	1	2	1	1	0	2	3	1	6	4	0
Streptomyces sp. CNH287 AUKQ01	12	1	4	2	1	2	1	5	1	2	2	2	1	4	3	1	2	5	3	4	1	7	2	3	1	0	4	2	2	4	1	1	1	1	2	11	1	2	1	1	4	2	1	1	1	1	1	1	6	1	2	1	1	2	1	1	11	1	1	1	12	4	1	2	1	1	6	4	1	1	13	2	1	3	0	3	7	2	3	1	1	3	1	1	3	1	1	6	5	1	1	2	1	2	1	1	1	1	1	1	2	3	1	8	4	1
Streptomyces sp. e14 ACUR01	8	1	4	1	1	3	1	4	1	2	5	2	1	5	5	1	1	3	2	3	1	5	1	3	3	0	6	2	1	5	1	2	1	0	2	13	1	4	1	1	3	2	1	2	2	1	1	1	3	1	2	1	1	1	2	3	8	1	1	1	9	3	1	2	0	1	5	3	1	1	9	2	1	2	1	4	9	2	2	2	2	5	1	0	6	2	1	4	10	1	1	1	2	2	1	1	2	1	1	1	2	3	1	6	1	1
Streptomyces griseus subsp. griseus JOGA01	14	1	4	2	1	2	1	7	2	2	4	2	1	4	3	1	2	3	2	3	1	11	1	3	3	1	5	5	1	4	1	2	1	1	1	14	1	2	1	1	3	2	1	1	1	1	2	1	4	1	2	1	1	2	2	1	12	1	1	1	16	1	1	2	1	1	4	4	1	1	11	1	1	3	1	4	9	2	2	1	2	4	1	2	3	1	1	4	7	1	1	1	1	2	1	1	1	1	1	1	2	3	1	7	4	1
Streptomyces sp. HPH0547 ATCE01	11	1	3	2	2	3	1	4	1	2	2	2	1	5	3	1	3	4	3	3	1	8	1	3	1	1	3	2	1	4	1	1	1	1	1	14	1	2	1	1	3	3	1	1	1	1	3	1	7	1	2	1	1	1	2	1	9	1	1	1	11	6	1	1	1	1	5	3	1	1	12	2	1	3	0	3	9	2	2	1	1	3	1	2	1	1	1	7	8	1	1	2	1	2	1	2	1	1	1	1	2	3	1	7	3	1
Streptomyces sp. CNH099 AZWL01	18	1	3	1	1	3	1	5	1	2	4	2	2	3	2	1	1	4	3	3	1	9	1	4	3	0	5	1	0	5	1	2	1	1	1	10	1	2	1	1	3	3	1	1	1	1	1	1	5	1	2	2	1	1	0	1	9	1	1	1	12	1	2	1	1	1	6	6	1	1	10	2	1	5	0	4	9	2	2	1	1	2	1	1	3	1	2	8	5	1	3	2	1	2	1	2	1	1	1	1	2	3	1	3	2	1
Streptomyces mobaraensis NBRC 13819 = DSM 40847 AORZ01	9	1	5	2	1	2	1	5	1	2	2	3	1	4	3	1	2	4	3	3	1	6	3	3	2	0	4	1	0	5	1	2	1	2	1	13	0	4	1	1	2	1	1	1	1	1	1	1	5	0	2	1	1	1	1	1	12	1	1	1	12	6	1	1	1	1	5	4	1	1	14	2	2	6	0	2	8	3	2	1	1	3	1	1	2	2	1	7	6	2	1	2	2	3	2	3	1	1	1	1	2	3	1	9	4	1
Streptomyces niger JOFQ01	20	1	5	2	2	2	1	8	2	2	2	2	1	5	3	1	3	4	3	4	1	7	1	3	3	2	9	4	2	4	1	1	1	2	2	17	2	3	2	1	6	3	2	1	2	1	1	2	5	1	2	1	1	1	3	1	15	1	1	1	16	4	1	2	1	1	5	9	1	1	14	4	1	5	0	2	9	2	4	1	1	3	1	2	4	2	2	5	10	1	3	1	1	2	1	1	1	1	1	1	2	3	1	7	4	3
Streptomyces lilacinus JNXU01	5	1	3	1	1	2	1	5	2	2	3	1	2	4	3	1	1	3	2	3	1	4	1	2	2	0	5	1	0	4	1	1	1	1	1	10	1	4	2	0	4	2	1	1	1	1	1	1	3	2	1	2	1	1	1	0	7	1	2	3	8	2	1	2	2	1	3	3	1	1	8	1	1	5	0	1	5	1	3	2	1	3	1	1	1	1	2	4	4	1	1	1	2	1	1	1	1	1	1	1	1	2	1	4	3	1
Streptomyces sp. HGB0020 AGER01	28	2	5	2	1	3	1	9	2	2	4	2	1	6	5	2	4	7	3	5	1	8	1	4	4	0	5	4	0	6	1	1	1	1	1	14	1	2	1	1	4	1	1	1	2	1	2	1	4	1	2	1	1	1	3	1	11	1	1	1	13	1	1	2	1	1	5	7	1	1	13	3	1	4	0	3	9	3	3	3	2	8	1	3	3	3	2	8	14	2	3	1	2	2	1	2	2	1	1	1	2	3	1	7	4	1
Streptomyces sp. CNT360 AUKO01	18	1	4	2	1	2	1	5	3	2	3	4	1	4	3	1	2	4	3	4	1	7	1	4	1	1	3	2	1	4	1	1	1	1	1	13	1	2	1	1	3	1	1	1	1	1	1	1	4	1	2	1	1	1	2	1	14	1	1	1	16	2	1	1	1	1	4	6	1	1	17	4	1	2	0	3	10	2	2	1	1	5	1	2	1	1	2	6	9	1	3	3	2	4	2	2	1	1	1	0	2	3	1	8	2	3
Streptomyces rimosus R6-500 JJNO01	14	1	6	2	2	1	1	6	2	2	5	3	2	4	3	1	3	4	3	4	1	7	1	3	3	1	12	1	1	4	1	1	2	1	1	15	1	2	1	1	4	2	1	1	1	1	2	1	5	2	2	2	1	1	3	2	15	1	2	2	17	6	2	3	1	1	6	6	1	1	17	3	1	6	0	3	12	2	3	1	2	2	1	2	4	1	1	6	9	1	1	1	2	3	2	1	1	1	1	1	2	3	1	9	4	1
Streptomyces sp. CT34 JSFP01	12	1	6	2	1	1	1	7	2	2	2	3	2	4	3	1	2	4	3	3	1	7	1	4	3	1	8	2	1	6	1	1	1	1	1	13	1	2	3	1	3	2	1	1	1	1	1	1	3	1	3	1	1	1	3	1	12	1	1	1	14	5	2	3	1	1	4	4	1	0	13	2	1	6	0	2	9	2	2	1	2	4	1	1	3	1	1	7	11	1	1	1	1	3	1	1	1	1	1	1	3	3	1	4	3	1
Streptomyces peucetius JOCK01	14	1	6	2	2	3	1	6	2	2	5	3	2	5	3	1	3	4	3	4	1	9	1	3	3	1	14	2	1	4	1	1	1	1	1	16	1	2	2	1	3	3	2	1	1	1	2	1	5	2	2	2	1	1	3	2	14	1	2	2	16	7	2	3	1	1	8	6	1	1	17	3	1	6	0	3	12	2	2	1	2	3	1	2	4	1	1	7	9	1	1	1	2	3	2	2	1	1	1	1	2	3	1	9	6	1
Streptomyces sp. KhCrAH-337 AZVF01	19	1	3	2	1	3	1	5	2	2	4	2	1	4	3	1	2	4	2	3	1	7	1	4	2	1	5	4	1	4	1	2	2	2	1	9	2	2	1	1	4	1	1	1	1	1	2	1	5	1	2	1	2	1	2	1	12	2	1	1	14	1	1	2	1	1	4	7	1	1	15	1	1	2	0	3	9	2	2	2	2	2	1	2	2	1	1	4	5	1	2	4	2	2	1	1	1	1	1	1	2	3	1	8	4	1
Streptomyces sp. CNQ329 AXVU01	18	1	3	2	1	2	1	5	1	2	4	2	1	4	3	1	1	5	3	3	1	8	1	4	2	0	4	1	0	5	1	1	1	1	2	11	1	2	1	1	3	3	1	1	1	1	1	1	5	1	2	1	1	1	1	2	12	1	1	1	13	1	1	1	1	1	6	7	1	1	12	2	1	3	0	4	10	1	2	1	1	2	1	1	5	1	2	9	5	1	3	1	1	2	1	2	1	1	1	1	2	3	1	5	4	1
Streptomyces sp. CNT318 AUKN01	14	1	4	1	1	3	1	5	1	2	2	2	1	4	3	1	2	4	3	3	1	7	1	3	1	0	5	2	2	4	1	2	1	1	1	12	1	2	1	1	4	1	1	1	1	1	1	1	5	1	2	1	1	1	2	1	11	1	1	1	12	3	1	1	1	1	4	3	1	1	12	3	1	3	0	2	8	2	3	1	1	3	1	2	1	1	1	4	4	1	1	3	1	2	1	1	1	1	1	1	2	3	1	7	3	1
Streptomyces sp. 351MFTsu5.1 ARTS01	23	2	6	3	1	5	1	7	1	2	5	2	1	6	5	2	3	5	3	5	1	7	1	4	4	0	5	5	1	5	1	1	1	1	1	14	1	3	1	1	5	2	1	1	2	1	2	1	4	1	2	1	1	1	3	1	11	2	1	2	12	2	1	2	1	1	6	6	1	1	12	2	1	2	1	4	9	1	4	2	1	5	1	2	3	2	2	6	11	0	3	1	1	2	1	2	1	1	1	1	2	3	1	10	5	2
Streptomyces olindensis JJOH01	18	2	7	3	1	3	1	6	2	3	4	2	1	5	5	2	3	5	3	7	1	8	1	3	5	1	8	5	1	5	1	1	1	1	1	16	1	3	1	1	4	1	2	1	2	1	1	1	5	1	2	1	1	1	3	1	13	1	1	1	15	1	1	2	2	1	7	8	1	1	14	3	1	4	0	3	9	1	3	2	2	5	1	2	4	2	2	7	11	2	3	1	1	2	1	4	1	1	1	1	2	3	1	5	3	1
Streptomyces purpeochromogenes JOBG01	14	1	4	2	1	3	1	6	2	2	5	2	1	4	3	1	1	3	2	3	1	9	1	3	3	1	8	5	1	4	1	1	1	1	1	13	1	4	1	1	3	1	1	2	1	1	2	1	4	2	2	1	1	1	2	1	13	1	1	1	16	2	1	2	1	1	5	3	1	1	14	1	1	3	1	4	10	2	2	2	2	4	1	1	3	1	1	5	6	1	1	1	1	2	1	1	1	1	1	1	3	4	1	7	3	1
Streptomyces roseoverticillatus JOFL01	10	1	4	2	1	2	2	5	1	2	4	2	2	4	3	1	2	4	3	4	1	6	1	4	2	1	5	1	0	4	1	1	1	2	3	17	0	2	1	1	2	2	3	2	2	1	1	1	6	1	2	1	1	2	1	1	10	1	1	1	10	4	2	2	1	1	4	3	1	1	10	2	1	4	0	2	6	3	2	1	2	4	1	1	2	4	1	6	7	1	1	1	2	2	1	1	1	1	1	1	2	3	1	5	3	1
Streptomyces natalensis JNYF01	8	1	4	2	1	2	1	6	2	2	3	3	2	4	4	1	1	2	3	3	1	8	1	1	2	0	6	2	1	4	0	1	0	1	1	11	1	2	1	0	4	2	1	1	2	1	1	1	2	2	2	2	1	1	3	1	13	1	2	2	14	1	2	1	2	1	5	2	1	1	12	1	1	5	0	4	12	2	3	1	1	3	1	1	2	1	1	4	8	1	1	1	1	3	2	1	1	1	1	1	2	3	1	8	3	1
Streptomyces sp. CNS335 ARHS01	22	1	3	2	1	2	1	5	1	2	4	2	1	4	2	2	2	6	3	3	1	9	1	4	3	0	6	1	0	5	1	1	1	1	1	11	1	2	1	1	3	2	1	1	1	1	2	1	4	2	2	2	2	2	1	2	12	1	1	1	15	1	2	1	1	1	7	8	1	1	14	2	1	5	0	4	11	2	2	1	1	2	1	1	4	1	2	10	7	1	3	1	1	2	1	2	1	1	1	1	2	3	1	5	4	1
Streptomyces sp. CNT371 AZWZ01	23	1	3	2	1	2	1	5	1	2	4	2	1	4	2	1	1	5	3	3	1	9	1	4	2	0	6	1	0	5	1	1	1	1	1	11	1	2	1	1	3	2	1	0	1	1	2	1	4	2	2	2	2	2	1	2	13	1	1	1	16	1	2	1	1	1	8	8	1	1	16	2	1	5	0	4	10	2	2	1	1	2	1	1	4	1	2	10	5	1	3	1	1	2	1	2	1	1	1	1	2	3	1	5	4	1
Streptomyces sp. CNS606 AUFD01	11	1	4	2	1	2	1	4	1	2	2	2	1	4	4	1	2	4	3	3	1	4	1	3	1	1	4	2	2	3	1	1	1	1	1	13	1	2	1	1	3	3	1	1	1	1	1	1	4	1	2	1	1	1	1	1	7	1	1	1	8	0	1	2	1	1	4	2	1	1	9	1	1	3	0	5	8	2	2	1	1	2	1	2	2	1	2	5	6	1	1	2	2	2	1	2	1	1	1	1	2	3	1	5	3	1
Streptomyces sp. CNQ865 AUKP01	22	1	3	2	1	2	1	5	1	2	4	2	1	4	2	2	2	6	3	3	1	9	1	4	3	0	5	1	0	5	1	1	1	1	1	11	1	2	1	1	3	2	1	1	1	1	2	1	4	2	2	2	2	2	1	2	12	1	1	1	16	1	2	1	1	1	7	8	1	1	14	2	1	5	0	3	10	2	2	1	1	2	1	1	4	1	2	10	7	1	3	1	1	2	1	2	1	1	1	1	2	3	1	5	4	1
Streptomyces sp. DvalAA-83 ARPI01	20	1	3	2	1	3	1	5	1	2	5	2	1	4	3	1	2	3	2	3	1	6	1	3	3	1	4	4	1	4	1	1	1	2	2	12	1	2	1	1	3	1	1	1	1	1	2	1	8	1	2	1	1	1	2	1	10	1	1	1	12	1	1	2	1	1	3	6	1	1	12	4	1	4	1	4	8	3	2	2	2	3	1	2	4	1	1	4	8	1	2	1	2	2	1	1	1	1	1	0	2	3	1	7	3	1
Streptomyces sp. ATexAB-D23 AREH01	20	1	5	2	1	3	1	6	2	2	4	2	1	4	3	1	2	3	2	3	1	6	1	4	2	1	5	4	1	4	1	3	1	2	1	9	2	2	1	1	4	2	1	1	1	1	2	1	5	1	2	1	1	1	2	1	10	1	1	1	12	0	1	2	1	1	5	8	1	1	12	1	1	4	0	3	7	2	2	2	2	3	1	1	3	1	1	5	7	1	2	3	4	2	1	1	1	1	1	0	2	3	1	8	6	1
Streptomyces sp. GXT6 AYRX01	17	1	6	2	2	2	2	6	1	2	4	2	1	7	3	2	3	3	2	4	1	7	1	3	3	1	5	4	2	5	1	1	1	1	2	13	1	2	1	1	3	2	2	1	2	1	1	1	4	1	2	1	1	1	2	1	9	1	1	1	11	2	1	2	1	1	6	9	1	1	10	3	1	3	0	3	7	1	2	2	2	3	1	3	6	2	1	6	10	1	2	1	2	2	1	1	1	1	1	1	2	3	1	4	4	1
Streptomyces sp. CNQ-525 JNID01	20	1	3	2	1	2	1	5	1	2	4	2	1	5	4	2	1	5	3	3	1	11	1	4	3	0	5	1	0	5	1	1	1	1	1	11	1	2	1	1	3	2	1	1	1	1	2	1	4	2	2	2	2	2	1	2	11	1	1	1	13	1	2	1	1	1	8	9	1	1	14	2	1	5	0	4	11	2	2	1	1	2	1	1	4	1	2	10	7	1	3	1	1	2	1	2	1	1	1	1	2	3	1	6	3	1
Streptomyces sp. CNB091 ARJI01	13	1	4	2	1	2	1	5	2	2	4	2	1	4	3	1	2	3	2	3	1	8	1	3	2	1	5	5	1	4	1	1	1	1	1	15	1	2	2	1	3	2	2	1	1	1	2	1	6	1	2	1	1	1	2	1	11	1	1	1	15	1	1	2	1	1	6	5	1	1	14	1	1	4	0	2	8	2	2	1	2	2	1	2	4	1	1	5	5	1	2	1	2	2	1	1	1	1	1	0	2	3	1	8	4	1
Streptomyces sp. JS01 JPWW01	13	1	4	2	1	2	1	7	2	2	5	2	1	4	3	1	2	3	2	3	1	10	1	3	3	1	6	5	1	4	1	2	1	1	1	13	1	2	1	1	3	1	1	1	1	1	2	1	4	1	2	1	1	1	2	1	10	1	1	1	15	0	1	2	1	1	4	4	1	1	12	1	1	3	1	4	9	2	2	1	2	4	1	1	3	2	1	6	7	1	1	1	1	2	1	1	1	1	1	1	2	3	1	7	4	1
Streptomyces megasporus JODL01	13	1	4	2	1	1	1	4	1	2	2	2	1	4	3	1	2	2	1	3	1	5	1	3	2	0	4	2	2	5	1	1	1	1	2	7	1	2	2	1	3	1	1	0	1	1	1	1	4	1	2	1	2	1	2	1	9	1	1	1	10	2	1	2	1	1	4	4	1	1	10	3	1	3	1	2	8	1	2	2	2	2	1	1	3	1	1	4	4	1	2	1	1	2	1	1	1	1	1	1	2	3	1	6	3	1
Streptomyces iakyrus JNXI01	18	2	7	2	1	3	1	7	1	2	4	2	1	5	4	2	4	5	3	3	1	7	1	3	4	0	7	4	2	8	1	1	1	2	1	15	1	2	2	1	4	2	1	1	2	1	1	1	5	1	2	1	1	1	2	1	12	1	1	1	15	0	1	2	2	1	6	9	1	1	14	2	1	4	0	3	10	2	3	3	2	5	1	2	4	2	2	7	9	1	2	1	1	2	1	2	1	1	1	1	2	3	1	8	2	1
